method	phase_0_MSE	phase_1_MSE	phase_3_MSE	phase_39_MSE	phase_40_MSE	phase_78_MSE	phase_81_MSE	phase_156_MSE	phase_162_MSE
DT	0.0e+00	1.4e-09	4.8e-10	1.3e-09	1.6e-09	2.0e-09	3.9e-10	2.4e-08	2.3e-08
ET	0.0e+00	2.8e-09	5.8e-10	1.3e-09	1.5e-09	3.8e-09	1.2e-09	3.1e-07	5.8e-08
ETs	0.0e+00	1.9e-09	4.8e-10	1.1e-09	8.7e-10	1.2e-09	2.5e-10	3.2e-08	2.3e-08
RF	0.0e+00	1.0e-09	3.8e-10	8.3e-10	9.2e-10	1.0e-09	2.0e-10	6.6e-08	2.7e-08
GBM	0.0e+00	9.3e-10	3.7e-10	6.7e-10	1.0e-09	1.4e-09	2.5e-10	5.0e-08	2.7e-08
HGBM	0.0e+00	9.7e-10	3.5e-10	4.8e-10	1.1e-09	2.6e-09	2.5e-10	2.7e-07	7.5e-08
XGBM	0.0e+00	1.7e-09	4.3e-10	9.9e-10	2.3e-09	1.4e-08	6.6e-10	5.8e-07	1.6e-07
LGBM	0.0e+00	1.0e-09	3.7e-10	5.0e-10	1.0e-09	2.3e-09	1.9e-10	3.2e-07	7.8e-08
SVM	0.0e+00	2.2e-09	6.0e-10	1.2e-09	2.4e-09	3.9e-08	2.0e-09	1.4e-06	2.6e-06
MLP	1.8e-05	2.8e-08	3.0e-09	4.8e-09	3.7e-09	4.0e-08	2.7e-09	4.3e-06	2.9e-06
	0.0e+00	2.8e-09	2.3e-09	5.1e-09	4.3e-09	3.4e-08	2.7e-09	3.7e-06	2.9e-06
